#;;;;;;;;;;;;;x
badboy;Infamy;Infamie;Infamie;;Infamia;;;;;;;;;;;;;x
EVTNAME60150;Отмена женского избирательного права;;;;;;;;;;;;;x
EVTDESC60150;С учётом отмены реформы избирательного права, женщины вновь лишены возможности голосовать.;;;;;;;;;;;;;x
EVTOPTA60150;Возвращайтесь на кухни!;;;;;;;;;;;;;x
EVTNAME31102;Прощай, Стамбул!;;;;;;;;;;;;;x
EVTDESC31102;Географическое положение Стамбула стало небезопасным, ввиду чего мы вынуждены перенести столицу вглубь страны.;;;;;;;;;;;;;x
EVTOPTA31102;Мы ещё вернёмся в Европу!;;;;;;;;;;;;;x
EVTNAME98000;Восстание сипаев;X
EVTDESC98000;Восстание сипаев — мятеж индийских солдат против колонизаторской политики Ост-Индской компании в 1857-1859 годах. Восстание началось на севере от Бенгалии до Пенджаба и в центральной Индии. Основная инициатива была предпринята со стороны армии и незадолго до этого отстранённых от власти махарадж, но в некоторых областях его поддержали крестьяне, и оно превратилось в общее восстание, угрожающее Великобритании потерей всей Индии, а вместе с ней статуса самой могущественной империи в мире и обрушением британской экономики.;X
EVTOPTA98000;Сокрушим бунтовщиков!;X
EVTNAME98001;Изгнание британцев из Индии;X
EVTDESC98001;После нескольких сокрушительных поражений, нанесённых сипаями британской армии, восстания охватили всю территорию Индии. Когда последние силы захватчиков были сброшены в океан, правители, выступившие на стороне захватчиков, были казнены по решению руководителей восстания. Индия была объявлена единым и неделимым государством, устанавливалась республиканская форма правления с сильной авторитарной властью президента. Теперь, пользуясь новшествами цивилизации, принесёнными захватчиками, мы станем великой державой, уважаемой во всём мире!;X
EVTOPTA98001;Да здравствует свободная Индия!;X
OL_REBEL_OCCUPATIONS;Контроль повстанцами;;;;;;;;;;;;;x
OL_REBEL_OCCUPATIONS_TOOLTIP;Провинция §Y$PROVINCE$§W контролируется повстанцами!;;;;;;;;;;;;;x
OL_VIEW_REBEL_OCCUPATIONS;Переключение на §YRebel Occupations§W вид;;;;;;;;;;;;;x
POP_MIL_CHANGE_REBEL;Народ в провинции §Y$PROV$§W находится под контролем §RRebels§W.\n Мы не можем определить уровень его агрессивности.;;;;;;;;;;;;;x
POP_CON_CHANGE_REBEL;Народ в провинции §Y$PROV$§W находится под контролем §RRebels§W.\n Мы не можем определить уровень его сознательности.;;;;;;;;;;;;;x
PROJECT_STATE_NAME_DESC;Планируется построить в §Y$PROV$§W.;;;;;;;;;;;;;x
RUS_355;Латгалия;X
RUS_364;Жемайтия;X
RUS_940;Полесье;X
RUS_987;Коми;X
